STATISTIC,Statistic Label,TLIST(Q1),Quarter,C02741V03309,Sub Sector,UNIT,VALUE,Country
EHQ10C01,Employment,20083,2008Q3,03,Garda Siochana,Number,14200.0,Ireland
EHQ10C01,Employment,20083,2008Q3,04,Education,Number,113200.0,Ireland
EHQ10C01,Employment,20083,2008Q3,05,Regional bodies,Number,40700.0,Ireland
EHQ10C01,Employment,20083,2008Q3,06,Health,Number,137800.0,Ireland
EHQ10C01,Employment,20083,2008Q3,07,Semi-State companies,Number,57000.0,Ireland
EHQ10C01,Employment,20083,2008Q3,09,Commercial Semi-State companies,Number,45300.0,Ireland
EHQ10C01,Employment,20083,2008Q3,10,Non commercial Semi-State companies,Number,11700.0,Ireland
EHQ10C01,Employment,20083,2008Q3,-,Total Public Sector including Semi State bodies,Number,417100.0,Ireland
EHQ10C01,Employment,20083,2008Q3,08,Total Public Sector excluding Semi State bodies,Number,360100.0,Ireland
EHQ10C01,Employment,20084,2008Q4,01,Civil service,Number,42700.0,Ireland
EHQ10C01,Employment,20084,2008Q4,02,Defence,Number,11200.0,Ireland
EHQ10C01,Employment,20084,2008Q4,03,Garda Siochana,Number,15300.0,Ireland
EHQ10C01,Employment,20084,2008Q4,04,Education,Number,120500.0,Ireland
EHQ10C01,Employment,20084,2008Q4,05,Regional bodies,Number,40200.0,Ireland
EHQ10C01,Employment,20084,2008Q4,06,Health,Number,139600.0,Ireland
EHQ10C01,Employment,20084,2008Q4,07,Semi-State companies,Number,57800.0,Ireland
EHQ10C01,Employment,20084,2008Q4,09,Commercial Semi-State companies,Number,46000.0,Ireland
EHQ10C01,Employment,20084,2008Q4,10,Non commercial Semi-State companies,Number,11800.0,Ireland
EHQ10C01,Employment,20084,2008Q4,-,Total Public Sector including Semi State bodies,Number,427300.0,Ireland
EHQ10C01,Employment,20084,2008Q4,08,Total Public Sector excluding Semi State bodies,Number,369500.0,Ireland
EHQ10C01,Employment,20091,2009Q1,01,Civil service,Number,42200.0,Ireland
EHQ10C01,Employment,20091,2009Q1,02,Defence,Number,11200.0,Ireland
EHQ10C01,Employment,20091,2009Q1,03,Garda Siochana,Number,14600.0,Ireland
EHQ10C01,Employment,20091,2009Q1,04,Education,Number,120200.0,Ireland
EHQ10C01,Employment,20091,2009Q1,05,Regional bodies,Number,38400.0,Ireland
EHQ10C01,Employment,20091,2009Q1,06,Health,Number,137700.0,Ireland
EHQ10C01,Employment,20091,2009Q1,07,Semi-State companies,Number,56900.0,Ireland
EHQ10C01,Employment,20091,2009Q1,09,Commercial Semi-State companies,Number,45000.0,Ireland
EHQ10C01,Employment,20091,2009Q1,10,Non commercial Semi-State companies,Number,11900.0,Ireland
EHQ10C01,Employment,20091,2009Q1,-,Total Public Sector including Semi State bodies,Number,421200.0,Ireland
EHQ10C01,Employment,20091,2009Q1,08,Total Public Sector excluding Semi State bodies,Number,364300.0,Ireland
EHQ10C01,Employment,20092,2009Q2,01,Civil service,Number,42100.0,Ireland
EHQ10C01,Employment,20092,2009Q2,02,Defence,Number,11100.0,Ireland
EHQ10C01,Employment,20092,2009Q2,03,Garda Siochana,Number,14700.0,Ireland
EHQ10C01,Employment,20092,2009Q2,04,Education,Number,118300.0,Ireland
EHQ10C01,Employment,20092,2009Q2,05,Regional bodies,Number,38400.0,Ireland
EHQ10C01,Employment,20092,2009Q2,06,Health,Number,137100.0,Ireland
EHQ10C01,Employment,20092,2009Q2,07,Semi-State companies,Number,56100.0,Ireland
EHQ10C01,Employment,20092,2009Q2,09,Commercial Semi-State companies,Number,44400.0,Ireland
EHQ10C01,Employment,20092,2009Q2,10,Non commercial Semi-State companies,Number,11700.0,Ireland
EHQ10C01,Employment,20092,2009Q2,-,Total Public Sector including Semi State bodies,Number,417700.0,Ireland
EHQ10C01,Employment,20092,2009Q2,08,Total Public Sector excluding Semi State bodies,Number,361600.0,Ireland
EHQ10C01,Employment,20093,2009Q3,01,Civil service,Number,41600.0,Ireland
EHQ10C01,Employment,20093,2009Q3,02,Defence,Number,10900.0,Ireland
EHQ10C01,Employment,20093,2009Q3,03,Garda Siochana,Number,15100.0,Ireland
EHQ10C01,Employment,20093,2009Q3,04,Education,Number,109100.0,Ireland
EHQ10C01,Employment,20093,2009Q3,05,Regional bodies,Number,38300.0,Ireland
EHQ10C01,Employment,20093,2009Q3,06,Health,Number,138200.0,Ireland
EHQ10C01,Employment,20093,2009Q3,07,Semi-State companies,Number,56300.0,Ireland
EHQ10C01,Employment,20093,2009Q3,09,Commercial Semi-State companies,Number,45000.0,Ireland
EHQ10C01,Employment,20093,2009Q3,10,Non commercial Semi-State companies,Number,11300.0,Ireland
EHQ10C01,Employment,20093,2009Q3,-,Total Public Sector including Semi State bodies,Number,409500.0,Ireland
EHQ10C01,Employment,20093,2009Q3,08,Total Public Sector excluding Semi State bodies,Number,353200.0,Ireland
EHQ10C01,Employment,20094,2009Q4,01,Civil service,Number,40900.0,Ireland
EHQ10C01,Employment,20094,2009Q4,02,Defence,Number,10800.0,Ireland
EHQ10C01,Employment,20094,2009Q4,03,Garda Siochana,Number,14800.0,Ireland
EHQ10C01,Employment,20094,2009Q4,04,Education,Number,113100.0,Ireland
EHQ10C01,Employment,20094,2009Q4,05,Regional bodies,Number,37700.0,Ireland
EHQ10C01,Employment,20094,2009Q4,06,Health,Number,137300.0,Ireland
EHQ10C01,Employment,20094,2009Q4,07,Semi-State companies,Number,55200.0,Ireland
EHQ10C01,Employment,20094,2009Q4,09,Commercial Semi-State companies,Number,44200.0,Ireland
EHQ10C01,Employment,20094,2009Q4,10,Non commercial Semi-State companies,Number,11000.0,Ireland
EHQ10C01,Employment,20094,2009Q4,-,Total Public Sector including Semi State bodies,Number,409700.0,Ireland
EHQ10C01,Employment,20094,2009Q4,08,Total Public Sector excluding Semi State bodies,Number,354500.0,Ireland
EHQ10C01,Employment,20101,2010Q1,01,Civil service,Number,40100.0,Ireland
EHQ10C01,Employment,20101,2010Q1,02,Defence,Number,10700.0,Ireland
EHQ10C01,Employment,20101,2010Q1,03,Garda Siochana,Number,14700.0,Ireland
EHQ10C01,Employment,20101,2010Q1,04,Education,Number,113800.0,Ireland
EHQ10C01,Employment,20101,2010Q1,05,Regional bodies,Number,36700.0,Ireland
EHQ10C01,Employment,20101,2010Q1,06,Health,Number,137400.0,Ireland
EHQ10C01,Employment,20101,2010Q1,07,Semi-State companies,Number,53600.0,Ireland
EHQ10C01,Employment,20101,2010Q1,09,Commercial Semi-State companies,Number,42200.0,Ireland
EHQ10C01,Employment,20101,2010Q1,10,Non commercial Semi-State companies,Number,11400.0,Ireland
EHQ10C01,Employment,20101,2010Q1,-,Total Public Sector including Semi State bodies,Number,406800.0,Ireland
EHQ10C01,Employment,20101,2010Q1,08,Total Public Sector excluding Semi State bodies,Number,353200.0,Ireland
EHQ10C01,Employment,20102,2010Q2,01,Civil service,Number,40100.0,Ireland
EHQ10C01,Employment,20102,2010Q2,02,Defence,Number,10600.0,Ireland
EHQ10C01,Employment,20102,2010Q2,03,Garda Siochana,Number,14600.0,Ireland
EHQ10C01,Employment,20102,2010Q2,04,Education,Number,115800.0,Ireland
EHQ10C01,Employment,20102,2010Q2,05,Regional bodies,Number,36500.0,Ireland
EHQ10C01,Employment,20102,2010Q2,06,Health,Number,136900.0,Ireland
EHQ10C01,Employment,20102,2010Q2,07,Semi-State companies,Number,55100.0,Ireland
EHQ10C01,Employment,20102,2010Q2,09,Commercial Semi-State companies,Number,43700.0,Ireland
EHQ10C01,Employment,20102,2010Q2,10,Non commercial Semi-State companies,Number,11300.0,Ireland
EHQ10C01,Employment,20102,2010Q2,-,Total Public Sector including Semi State bodies,Number,409500.0,Ireland
EHQ10C01,Employment,20102,2010Q2,08,Total Public Sector excluding Semi State bodies,Number,354400.0,Ireland
EHQ10C01,Employment,20103,2010Q3,01,Civil service,Number,40000.0,Ireland
EHQ10C01,Employment,20103,2010Q3,02,Defence,Number,10400.0,Ireland
EHQ10C01,Employment,20103,2010Q3,03,Garda Siochana,Number,14600.0,Ireland
EHQ10C01,Employment,20103,2010Q3,04,Education,Number,111300.0,Ireland
EHQ10C01,Employment,20103,2010Q3,05,Regional bodies,Number,37300.0,Ireland
EHQ10C01,Employment,20103,2010Q3,06,Health,Number,135900.0,Ireland
EHQ10C01,Employment,20103,2010Q3,07,Semi-State companies,Number,55000.0,Ireland
EHQ10C01,Employment,20103,2010Q3,09,Commercial Semi-State companies,Number,43800.0,Ireland
EHQ10C01,Employment,20103,2010Q3,10,Non commercial Semi-State companies,Number,11200.0,Ireland
EHQ10C01,Employment,20103,2010Q3,-,Total Public Sector including Semi State bodies,Number,404600.0,Ireland
EHQ10C01,Employment,20103,2010Q3,08,Total Public Sector excluding Semi State bodies,Number,349600.0,Ireland
EHQ10C01,Employment,20104,2010Q4,01,Civil service,Number,39600.0,Ireland
EHQ10C01,Employment,20104,2010Q4,02,Defence,Number,10300.0,Ireland
EHQ10C01,Employment,20104,2010Q4,03,Garda Siochana,Number,14400.0,Ireland
EHQ10C01,Employment,20104,2010Q4,04,Education,Number,115000.0,Ireland
EHQ10C01,Employment,20104,2010Q4,05,Regional bodies,Number,35200.0,Ireland
EHQ10C01,Employment,20104,2010Q4,06,Health,Number,134200.0,Ireland
EHQ10C01,Employment,20104,2010Q4,07,Semi-State companies,Number,55300.0,Ireland
EHQ10C01,Employment,20104,2010Q4,09,Commercial Semi-State companies,Number,44200.0,Ireland
EHQ10C01,Employment,20104,2010Q4,10,Non commercial Semi-State companies,Number,11100.0,Ireland
EHQ10C01,Employment,20104,2010Q4,-,Total Public Sector including Semi State bodies,Number,404100.0,Ireland
EHQ10C01,Employment,20104,2010Q4,08,Total Public Sector excluding Semi State bodies,Number,348700.0,Ireland
EHQ10C01,Employment,20111,2011Q1,01,Civil service,Number,44500.0,Ireland
EHQ10C01,Employment,20111,2011Q1,02,Defence,Number,10300.0,Ireland
EHQ10C01,Employment,20111,2011Q1,03,Garda Siochana,Number,14300.0,Ireland
EHQ10C01,Employment,20111,2011Q1,04,Education,Number,117700.0,Ireland
EHQ10C01,Employment,20111,2011Q1,05,Regional bodies,Number,34600.0,Ireland
EHQ10C01,Employment,20111,2011Q1,06,Health,Number,132900.0,Ireland
EHQ10C01,Employment,20111,2011Q1,07,Semi-State companies,Number,55100.0,Ireland
EHQ10C01,Employment,20111,2011Q1,09,Commercial Semi-State companies,Number,44100.0,Ireland
EHQ10C01,Employment,20111,2011Q1,10,Non commercial Semi-State companies,Number,11100.0,Ireland
EHQ10C01,Employment,20111,2011Q1,-,Total Public Sector including Semi State bodies,Number,409400.0,Ireland
EHQ10C01,Employment,20111,2011Q1,08,Total Public Sector excluding Semi State bodies,Number,354300.0,Ireland
EHQ10C01,Employment,20112,2011Q2,01,Civil service,Number,45000.0,Ireland
EHQ10C01,Employment,20112,2011Q2,02,Defence,Number,10300.0,Ireland
EHQ10C01,Employment,20112,2011Q2,03,Garda Siochana,Number,14200.0,Ireland
EHQ10C01,Employment,20112,2011Q2,04,Education,Number,117500.0,Ireland
EHQ10C01,Employment,20112,2011Q2,05,Regional bodies,Number,34800.0,Ireland
EHQ10C01,Employment,20112,2011Q2,06,Health,Number,132000.0,Ireland
EHQ10C01,Employment,20112,2011Q2,07,Semi-State companies,Number,53500.0,Ireland
EHQ10C01,Employment,20112,2011Q2,09,Commercial Semi-State companies,Number,42900.0,Ireland
EHQ10C01,Employment,20112,2011Q2,10,Non commercial Semi-State companies,Number,10600.0,Ireland
EHQ10C01,Employment,20112,2011Q2,-,Total Public Sector including Semi State bodies,Number,407200.0,Ireland
EHQ10C01,Employment,20112,2011Q2,08,Total Public Sector excluding Semi State bodies,Number,353700.0,Ireland
EHQ10C01,Employment,20113,2011Q3,01,Civil service,Number,39900.0,Ireland
EHQ10C01,Employment,20113,2011Q3,02,Defence,Number,10200.0,Ireland
EHQ10C01,Employment,20113,2011Q3,03,Garda Siochana,Number,14100.0,Ireland
EHQ10C01,Employment,20113,2011Q3,04,Education,Number,111100.0,Ireland
EHQ10C01,Employment,20113,2011Q3,05,Regional bodies,Number,35100.0,Ireland
EHQ10C01,Employment,20113,2011Q3,06,Health,Number,131100.0,Ireland
EHQ10C01,Employment,20113,2011Q3,07,Semi-State companies,Number,53300.0,Ireland
EHQ10C01,Employment,20113,2011Q3,09,Commercial Semi-State companies,Number,42300.0,Ireland
EHQ10C01,Employment,20113,2011Q3,10,Non commercial Semi-State companies,Number,11000.0,Ireland
EHQ10C01,Employment,20113,2011Q3,-,Total Public Sector including Semi State bodies,Number,394700.0,Ireland
EHQ10C01,Employment,20113,2011Q3,08,Total Public Sector excluding Semi State bodies,Number,341400.0,Ireland
EHQ10C01,Employment,20114,2011Q4,01,Civil service,Number,39700.0,Ireland
EHQ10C01,Employment,20114,2011Q4,02,Defence,Number,10100.0,Ireland
EHQ10C01,Employment,20114,2011Q4,03,Garda Siochana,Number,13900.0,Ireland
EHQ10C01,Employment,20114,2011Q4,04,Education,Number,111300.0,Ireland
EHQ10C01,Employment,20114,2011Q4,05,Regional bodies,Number,35000.0,Ireland
EHQ10C01,Employment,20114,2011Q4,06,Health,Number,128300.0,Ireland
EHQ10C01,Employment,20114,2011Q4,07,Semi-State companies,Number,53300.0,Ireland
EHQ10C01,Employment,20114,2011Q4,09,Commercial Semi-State companies,Number,42600.0,Ireland
EHQ10C01,Employment,20114,2011Q4,10,Non commercial Semi-State companies,Number,10800.0,Ireland
EHQ10C01,Employment,20114,2011Q4,-,Total Public Sector including Semi State bodies,Number,391600.0,Ireland
EHQ10C01,Employment,20114,2011Q4,08,Total Public Sector excluding Semi State bodies,Number,338300.0,Ireland
EHQ10C01,Employment,20121,2012Q1,01,Civil service,Number,39700.0,Ireland
EHQ10C01,Employment,20121,2012Q1,02,Defence,Number,9800.0,Ireland
EHQ10C01,Employment,20121,2012Q1,03,Garda Siochana,Number,13700.0,Ireland
EHQ10C01,Employment,20121,2012Q1,04,Education,Number,111900.0,Ireland
EHQ10C01,Employment,20121,2012Q1,05,Regional bodies,Number,33900.0,Ireland
EHQ10C01,Employment,20121,2012Q1,06,Health,Number,128800.0,Ireland
EHQ10C01,Employment,20121,2012Q1,07,Semi-State companies,Number,51400.0,Ireland
EHQ10C01,Employment,20121,2012Q1,09,Commercial Semi-State companies,Number,41300.0,Ireland
EHQ10C01,Employment,20121,2012Q1,10,Non commercial Semi-State companies,Number,10100.0,Ireland
EHQ10C01,Employment,20121,2012Q1,-,Total Public Sector including Semi State bodies,Number,389200.0,Ireland
EHQ10C01,Employment,20121,2012Q1,08,Total Public Sector excluding Semi State bodies,Number,337700.0,Ireland
EHQ10C01,Employment,20122,2012Q2,01,Civil service,Number,39300.0,Ireland
EHQ10C01,Employment,20122,2012Q2,02,Defence,Number,9500.0,Ireland
EHQ10C01,Employment,20122,2012Q2,03,Garda Siochana,Number,13500.0,Ireland
EHQ10C01,Employment,20122,2012Q2,04,Education,Number,109400.0,Ireland
EHQ10C01,Employment,20122,2012Q2,05,Regional bodies,Number,34100.0,Ireland
EHQ10C01,Employment,20122,2012Q2,06,Health,Number,126100.0,Ireland
EHQ10C01,Employment,20122,2012Q2,07,Semi-State companies,Number,51500.0,Ireland
EHQ10C01,Employment,20122,2012Q2,09,Commercial Semi-State companies,Number,41200.0,Ireland
EHQ10C01,Employment,20122,2012Q2,10,Non commercial Semi-State companies,Number,10300.0,Ireland
EHQ10C01,Employment,20122,2012Q2,-,Total Public Sector including Semi State bodies,Number,383400.0,Ireland
EHQ10C01,Employment,20122,2012Q2,08,Total Public Sector excluding Semi State bodies,Number,331900.0,Ireland
EHQ10C01,Employment,20123,2012Q3,01,Civil service,Number,39500.0,Ireland
EHQ10C01,Employment,20123,2012Q3,02,Defence,Number,9400.0,Ireland
EHQ10C01,Employment,20123,2012Q3,03,Garda Siochana,Number,13400.0,Ireland
EHQ10C01,Employment,20123,2012Q3,04,Education,Number,105800.0,Ireland
EHQ10C01,Employment,20123,2012Q3,05,Regional bodies,Number,34400.0,Ireland
EHQ10C01,Employment,20123,2012Q3,06,Health,Number,125800.0,Ireland
EHQ10C01,Employment,20123,2012Q3,07,Semi-State companies,Number,51200.0,Ireland
EHQ10C01,Employment,20123,2012Q3,09,Commercial Semi-State companies,Number,41100.0,Ireland
EHQ10C01,Employment,20123,2012Q3,10,Non commercial Semi-State companies,Number,10100.0,Ireland
EHQ10C01,Employment,20123,2012Q3,-,Total Public Sector including Semi State bodies,Number,379600.0,Ireland
EHQ10C01,Employment,20123,2012Q3,08,Total Public Sector excluding Semi State bodies,Number,328400.0,Ireland
EHQ10C01,Employment,20124,2012Q4,01,Civil service,Number,39400.0,Ireland
EHQ10C01,Employment,20124,2012Q4,02,Defence,Number,9600.0,Ireland
EHQ10C01,Employment,20124,2012Q4,03,Garda Siochana,Number,13400.0,Ireland
EHQ10C01,Employment,20124,2012Q4,04,Education,Number,111300.0,Ireland
EHQ10C01,Employment,20124,2012Q4,05,Regional bodies,Number,34000.0,Ireland
EHQ10C01,Employment,20124,2012Q4,06,Health,Number,123200.0,Ireland
EHQ10C01,Employment,20124,2012Q4,07,Semi-State companies,Number,50900.0,Ireland
EHQ10C01,Employment,20124,2012Q4,09,Commercial Semi-State companies,Number,40600.0,Ireland
EHQ10C01,Employment,20124,2012Q4,10,Non commercial Semi-State companies,Number,10300.0,Ireland
EHQ10C01,Employment,20124,2012Q4,-,Total Public Sector including Semi State bodies,Number,381800.0,Ireland
EHQ10C01,Employment,20124,2012Q4,08,Total Public Sector excluding Semi State bodies,Number,330900.0,Ireland
EHQ10C01,Employment,20131,2013Q1,01,Civil service,Number,39200.0,Ireland
EHQ10C01,Employment,20131,2013Q1,02,Defence,Number,9800.0,Ireland
EHQ10C01,Employment,20131,2013Q1,03,Garda Siochana,Number,13300.0,Ireland
EHQ10C01,Employment,20131,2013Q1,04,Education,Number,110300.0,Ireland
EHQ10C01,Employment,20131,2013Q1,05,Regional bodies,Number,32100.0,Ireland
EHQ10C01,Employment,20131,2013Q1,06,Health,Number,123600.0,Ireland
EHQ10C01,Employment,20131,2013Q1,07,Semi-State companies,Number,49700.0,Ireland
EHQ10C01,Employment,20131,2013Q1,09,Commercial Semi-State companies,Number,39700.0,Ireland
EHQ10C01,Employment,20131,2013Q1,10,Non commercial Semi-State companies,Number,9900.0,Ireland
EHQ10C01,Employment,20131,2013Q1,-,Total Public Sector including Semi State bodies,Number,378000.0,Ireland
EHQ10C01,Employment,20131,2013Q1,08,Total Public Sector excluding Semi State bodies,Number,328300.0,Ireland
EHQ10C01,Employment,20132,2013Q2,01,Civil service,Number,39400.0,Ireland
EHQ10C01,Employment,20132,2013Q2,02,Defence,Number,9700.0,Ireland
EHQ10C01,Employment,20132,2013Q2,03,Garda Siochana,Number,13200.0,Ireland
EHQ10C01,Employment,20132,2013Q2,04,Education,Number,111000.0,Ireland
EHQ10C01,Employment,20132,2013Q2,05,Regional bodies,Number,32100.0,Ireland
EHQ10C01,Employment,20132,2013Q2,06,Health,Number,123600.0,Ireland
EHQ10C01,Employment,20132,2013Q2,07,Semi-State companies,Number,49200.0,Ireland
EHQ10C01,Employment,20132,2013Q2,09,Commercial Semi-State companies,Number,39400.0,Ireland
EHQ10C01,Employment,20132,2013Q2,10,Non commercial Semi-State companies,Number,9700.0,Ireland
EHQ10C01,Employment,20132,2013Q2,-,Total Public Sector including Semi State bodies,Number,378200.0,Ireland
EHQ10C01,Employment,20132,2013Q2,08,Total Public Sector excluding Semi State bodies,Number,329100.0,Ireland
EHQ10C01,Employment,20133,2013Q3,01,Civil service,Number,39300.0,Ireland
EHQ10C01,Employment,20133,2013Q3,02,Defence,Number,9600.0,Ireland
EHQ10C01,Employment,20133,2013Q3,03,Garda Siochana,Number,13100.0,Ireland
EHQ10C01,Employment,20133,2013Q3,04,Education,Number,107900.0,Ireland
EHQ10C01,Employment,20133,2013Q3,05,Regional bodies,Number,33500.0,Ireland
EHQ10C01,Employment,20133,2013Q3,06,Health,Number,123600.0,Ireland
EHQ10C01,Employment,20133,2013Q3,07,Semi-State companies,Number,49300.0,Ireland
EHQ10C01,Employment,20133,2013Q3,09,Commercial Semi-State companies,Number,39600.0,Ireland
EHQ10C01,Employment,20133,2013Q3,10,Non commercial Semi-State companies,Number,9700.0,Ireland
EHQ10C01,Employment,20133,2013Q3,-,Total Public Sector including Semi State bodies,Number,376200.0,Ireland
EHQ10C01,Employment,20133,2013Q3,08,Total Public Sector excluding Semi State bodies,Number,326900.0,Ireland
EHQ10C01,Employment,20134,2013Q4,01,Civil service,Number,38900.0,Ireland
EHQ10C01,Employment,20134,2013Q4,02,Defence,Number,9700.0,Ireland
EHQ10C01,Employment,20134,2013Q4,03,Garda Siochana,Number,13000.0,Ireland
EHQ10C01,Employment,20134,2013Q4,04,Education,Number,111000.0,Ireland
EHQ10C01,Employment,20134,2013Q4,05,Regional bodies,Number,33000.0,Ireland
EHQ10C01,Employment,20134,2013Q4,06,Health,Number,122000.0,Ireland
EHQ10C01,Employment,20134,2013Q4,07,Semi-State companies,Number,48900.0,Ireland
EHQ10C01,Employment,20134,2013Q4,09,Commercial Semi-State companies,Number,39200.0,Ireland
EHQ10C01,Employment,20134,2013Q4,10,Non commercial Semi-State companies,Number,9600.0,Ireland
EHQ10C01,Employment,20134,2013Q4,-,Total Public Sector including Semi State bodies,Number,376500.0,Ireland
EHQ10C01,Employment,20134,2013Q4,08,Total Public Sector excluding Semi State bodies,Number,327700.0,Ireland
EHQ10C01,Employment,20141,2014Q1,01,Civil service,Number,38700.0,Ireland
EHQ10C01,Employment,20141,2014Q1,02,Defence,Number,9700.0,Ireland
EHQ10C01,Employment,20141,2014Q1,03,Garda Siochana,Number,13000.0,Ireland
EHQ10C01,Employment,20141,2014Q1,04,Education,Number,111200.0,Ireland
EHQ10C01,Employment,20141,2014Q1,05,Regional bodies,Number,33000.0,Ireland
EHQ10C01,Employment,20141,2014Q1,06,Health,Number,118700.0,Ireland
EHQ10C01,Employment,20141,2014Q1,07,Semi-State companies,Number,51200.0,Ireland
EHQ10C01,Employment,20141,2014Q1,09,Commercial Semi-State companies,Number,38600.0,Ireland
EHQ10C01,Employment,20141,2014Q1,10,Non commercial Semi-State companies,Number,12600.0,Ireland
EHQ10C01,Employment,20141,2014Q1,-,Total Public Sector including Semi State bodies,Number,375600.0,Ireland
EHQ10C01,Employment,20141,2014Q1,08,Total Public Sector excluding Semi State bodies,Number,324400.0,Ireland
EHQ10C01,Employment,20142,2014Q2,01,Civil service,Number,38800.0,Ireland
EHQ10C01,Employment,20142,2014Q2,02,Defence,Number,9600.0,Ireland
EHQ10C01,Employment,20142,2014Q2,03,Garda Siochana,Number,12900.0,Ireland
EHQ10C01,Employment,20142,2014Q2,04,Education,Number,110100.0,Ireland
EHQ10C01,Employment,20142,2014Q2,05,Regional bodies,Number,32700.0,Ireland
EHQ10C01,Employment,20142,2014Q2,06,Health,Number,118400.0,Ireland
EHQ10C01,Employment,20142,2014Q2,07,Semi-State companies,Number,51400.0,Ireland
EHQ10C01,Employment,20142,2014Q2,09,Commercial Semi-State companies,Number,38800.0,Ireland
EHQ10C01,Employment,20142,2014Q2,10,Non commercial Semi-State companies,Number,12700.0,Ireland
EHQ10C01,Employment,20142,2014Q2,-,Total Public Sector including Semi State bodies,Number,373900.0,Ireland
EHQ10C01,Employment,20142,2014Q2,08,Total Public Sector excluding Semi State bodies,Number,322500.0,Ireland
EHQ10C01,Employment,20143,2014Q3,01,Civil service,Number,38500.0,Ireland
EHQ10C01,Employment,20143,2014Q3,02,Defence,Number,9600.0,Ireland
EHQ10C01,Employment,20143,2014Q3,03,Garda Siochana,Number,12800.0,Ireland
EHQ10C01,Employment,20143,2014Q3,04,Education,Number,107700.0,Ireland
EHQ10C01,Employment,20143,2014Q3,05,Regional bodies,Number,32500.0,Ireland
EHQ10C01,Employment,20143,2014Q3,06,Health,Number,119000.0,Ireland
EHQ10C01,Employment,20143,2014Q3,07,Semi-State companies,Number,51700.0,Ireland
EHQ10C01,Employment,20143,2014Q3,09,Commercial Semi-State companies,Number,39200.0,Ireland
EHQ10C01,Employment,20143,2014Q3,10,Non commercial Semi-State companies,Number,12500.0,Ireland
EHQ10C01,Employment,20143,2014Q3,-,Total Public Sector including Semi State bodies,Number,371900.0,Ireland
EHQ10C01,Employment,20143,2014Q3,08,Total Public Sector excluding Semi State bodies,Number,320200.0,Ireland
EHQ10C01,Employment,20144,2014Q4,01,Civil service,Number,38200.0,Ireland
EHQ10C01,Employment,20144,2014Q4,02,Defence,Number,9800.0,Ireland
EHQ10C01,Employment,20144,2014Q4,03,Garda Siochana,Number,12800.0,Ireland
EHQ10C01,Employment,20144,2014Q4,04,Education,Number,110800.0,Ireland
EHQ10C01,Employment,20144,2014Q4,05,Regional bodies,Number,32200.0,Ireland
EHQ10C01,Employment,20144,2014Q4,06,Health,Number,118600.0,Ireland
EHQ10C01,Employment,20144,2014Q4,07,Semi-State companies,Number,51700.0,Ireland
EHQ10C01,Employment,20144,2014Q4,09,Commercial Semi-State companies,Number,39300.0,Ireland
EHQ10C01,Employment,20144,2014Q4,10,Non commercial Semi-State companies,Number,12400.0,Ireland
EHQ10C01,Employment,20144,2014Q4,-,Total Public Sector including Semi State bodies,Number,374000.0,Ireland
EHQ10C01,Employment,20144,2014Q4,08,Total Public Sector excluding Semi State bodies,Number,322300.0,Ireland
EHQ10C01,Employment,20151,2015Q1,01,Civil service,Number,38100.0,Ireland
EHQ10C01,Employment,20151,2015Q1,02,Defence,Number,9700.0,Ireland
